event,startdate,enddate
Student Conference 2022,2023-05-02,2023-05-05
Survival of the Student,2023-04-19,2023-04-19
Ithaka - Down to Earth,2023-03-06,2023-03-12
Werving projectmedewerkers Ithaka,2023-02-20,2023-03-12
Student Conference 2022,2022-11-29,2022-12-01
Het Groot Dictee der Leuvense Studenten,2022-11-22,2022-11-22
24 urenloop 2022,2022-10-25,2022-10-26
Beiaardcantus 2022,2022-05-11,2022-05-11
Openingsavond Interfacultair Theaterfestival,2022-03-08,2022-03-08
Think Abroad Month - Around the world,2022-02-24,2022-03-24
24 urenloop 2021,2021-10-26,2021-10-27
Think Abroad Week 2021,2021-03-01,2021-03-06
