Event Name,StartDate,EndDate
Otto-Jan Ham blikt terug op 2022,2022/12/23,2022/12/23
"Axelle Red: a very special Christmas                             
          (sold out)",2022/12/20,2022/12/20
"Arnout Van den Bossche                             
          (sold out)",2022/12/19,2022/12/19
Dub Unit #3,2022/12/19,2022/12/18
"The Clement Peerens Explosition                             
          (extra concert) (sold out)",2022/12/16,2022/12/16
"The Clement Peerens Explosition                             
          (laatste tickets)",2022/12/15,2022/12/15
"Young Gun Silver Fox  + 
          Ederlezi
      
          (geannuleerd)",2022/12/12,2022/12/12
"Silo - DJ Paulette, Alfred Anders & Moxie                             
          (sold out)",2022/12/12,2022/12/11
"What-U-On-About?! - DJ Hazard, USED & more",2022/12/12,2022/12/10
"Zwangere Guy & Lander Gyselinck + 
          Niels Broos
      
          (sold out)",2022/12/08,2022/12/08
Open Mic,2022/12/07,2022/12/07
"RHEA + 
          The DeVilles",2022/12/06,2022/12/06
"De Mens                             
          (sold out)",2022/12/03,2022/12/03
"De Mens                             
          (extra show) (laatste tickets)",2022/12/02,2022/12/02
WK Voetbal 2022 op groot scherm in Het Depot: België - Kroatië,2022/12/01,2022/12/01
"Jasper Steverlinck                             
          (sold out)",2022/11/30,2022/11/30
"Jasper Steverlinck                             
          (sold out)",2022/11/29,2022/11/29
Depot Café presents WITVROUW,2022/11/28,2022/11/28
WK Voetbal 2022 op groot scherm in Het Depot: België - Marokko,2022/07/28,2022/07/31
"Faisal Selects - Jyoty, Yooth, MarieLou & Pokkoehontas",2022/11/27,2022/11/27
"Utopia - Kittin & The Hacker, Identified Patient & more",2022/11/25,2022/11/25
"High Hi + 
          Mayorga",2022/11/25,2022/11/25
"SONS + 
          Black Leather Jacket",2022/11/24,2022/11/24
"WK Voetbal 2022 op groot scherm in Het Depot: België - Canada                             
          (sold out)",2022/11/23,2022/11/23
Depot Café presents Caspar Auwerkerken,2022/11/22,2022/11/22
"Kids With Buns + 
          Roufaida",2022/11/21,2022/11/21
Soweto Gospel Choir,2022/11/20,2022/11/20
"COOL Club Night w/ Sherelle, Ploy, AliA & ZFEX live",2022/11/20,2022/11/20
"Soul Asylum + 
          Sherman",2022/11/18,2022/11/18
"Yong Yello  + 
          Simon
      
          (sold out)",2022/11/17,2022/11/17
"Leyla McCalla + 
          Sarah Lenka",2022/11/16,2022/11/16
"Marble Sounds + 
          Yúrt",2022/11/15,2022/11/15
"COOL presents Lizz Wright + 
          DJ Groove Merchant",2022/11/14,2022/11/14
"Milow  + 
          AHI",2022/11/13,2022/11/13
IBE,2022/11/12,2022/11/12
Live Nation presents Mama's Jasje,2022/11/11,2022/11/11
An Evening with Cowboy Junkies,2022/11/08,2022/11/08
"Joost                              
          (sold out)",2022/11/07,2022/11/07
Josh Rouse,2022/11/06,2022/11/06
"Charlotte Adigéry & Bolis Pupul + 
          Geoffrey Burton
      
          (sold out)",2022/11/05,2022/11/05
"Gregory Alan Isakov + 
          Jeffrey Foucault",2022/11/03,2022/11/03
Open Mic,2022/11/02,2022/11/02
"MEAU + 
          Amina
      
          (sold out)",2022/11/01,2022/11/01
"Galaxie's Nightshift                              
          In memory of King Rick (sold out)",2022/11/01,2022/11/01
"Rudeboy plays Urban Dance Squad ft. DJ DNA + 
          DYnamic",2022/10/30,2022/10/30
"Duncan Laurence + 
          Tors
      
          (laatste tickets)",2022/10/29,2022/10/29
"Heideroosjes + 
          Antillectual
      
          (sold out)",2022/10/28,2022/10/28
"Donavon Frankenreiter + 
          Christina Holmes",2022/10/27,2022/10/27
Depot Café presents Elephant,2022/10/26,2022/10/26
"Groundation  + 
          Damballa",2022/10/25,2022/10/25
"Gabriel Ríos + 
          Camille Camille",2022/10/24,2022/10/24
Walter Trout,2022/10/22,2022/10/22
"COOL presents Alfa Mist  + 
          Adja + Dj Fatoosan (dj-set)",2022/10/21,2022/10/21
The Dream Syndicate,2022/10/20,2022/10/20
"Midge Ure + 
          India Electric Company",2022/10/19,2022/10/19
Het Depot & INUIT present overdrive,2022/10/18,2022/10/18
"mxmtoon + 
          Ricky Montgomery
      
          (geannuleerd)",2022/10/17,2022/10/17
"Angel Olsen + 
          Tomberlin",2022/10/15,2022/10/15
Studio STUK x Het Depot: Loverman curates Dida / Victor De Roo / Daisy Darkpark b2b crat (dj),2022/10/13,2022/10/13
"Heather Nova + 
          Jonathan Frith
      
          (sold out)",2022/10/10,2022/10/10
"Levellers  + 
          Nick Parker & The False Alarms
      
          (sold out)",2022/10/09,2022/10/09
"Mudhoney + 
          The Drove",2022/10/08,2022/10/08
Dub Unit #2,2022/10/08,2022/10/08
Wim Mertens Winds,2022/10/06,2022/10/06
Open Mic,2022/10/05,2022/10/05
"Madeleine Peyroux                              
          (nieuwe datum)",2022/10/04,2022/10/04
